Height(Inches),Weight(Pounds)
65.78,112.99
71.52,136.49
69.4,153.03
68.22,142.34
67.79,144.3
68.7,123.3
69.8,141.49
70.01,136.46
67.9,112.37
66.78,120.67
66.49,127.45
67.62,114.14
68.3,125.61
67.12,122.46
68.28,116.09
71.09,140.0
66.46,129.5
68.65,142.97
71.23,137.9
67.13,124.04
67.83,141.28
68.88,143.54
63.48,97.9
68.42,129.5
67.63,141.85
67.21,129.72
70.84,142.42
67.49,131.55
66.53,108.33
65.44,113.89
69.52,103.3
65.81,120.75
67.82,125.79
70.6,136.22
71.8,140.1
69.21,128.75
66.8,141.8
67.66,121.23
67.81,131.35
64.05,106.71
68.57,124.36
65.18,124.86
69.66,139.67
67.97,137.37
65.98,106.45
68.67,128.76
66.88,145.68
67.7,116.82
69.82,143.62
69.09,134.93
69.91,147.02
67.33,126.33
70.27,125.48
69.1,115.71
65.38,123.49
70.18,147.89
70.41,155.9
66.54,128.07
66.36,119.37
67.54,133.81
66.5,128.73
69.0,137.55
68.3,129.76
67.01,128.82
70.81,135.32
68.22,109.61
69.06,142.47
67.73,132.75
67.22,103.53
67.37,124.73
65.27,129.31
70.84,134.02
69.92,140.4
64.29,102.84
68.25,128.52
66.36,120.3
68.36,138.6
65.48,132.96
69.72,115.62
67.73,122.52
68.64,134.63
66.78,121.9
70.05,155.38
66.28,128.94
69.2,129.1
69.13,139.47
67.36,140.89
70.09,131.59
70.18,121.12
68.23,131.51
68.13,136.55
70.24,141.49
71.49,140.61
69.2,112.14
70.06,133.46
70.56,131.8
66.29,120.03
63.43,123.1
66.77,128.14
68.89,115.48
64.87,102.09
67.09,130.35
68.35,134.18
65.61,98.64
67.76,114.56
68.02,123.49
67.66,123.05
66.31,126.48
69.44,128.42
63.84,127.19
67.72,122.06
70.05,127.61
70.19,131.64
65.95,111.9
70.01,122.04
68.61,128.55
68.81,132.68
69.76,136.06
65.46,115.94
68.83,136.9
65.8,119.88
67.21,109.01
69.42,128.27
68.94,135.29
67.94,106.86
65.63,123.29
66.5,109.51
67.93,119.31
68.89,140.24
70.24,133.98
68.27,132.58
71.23,130.7
69.1,115.56
64.4,123.79
71.1,128.14
68.22,135.96
65.92,116.63
67.44,126.82
73.9,151.39
69.98,130.4
69.52,136.21
65.18,113.4
68.01,125.33
68.34,127.58
65.18,107.16
68.26,116.46
68.57,133.84
64.5,112.89
68.71,130.76
68.89,137.76
69.54,125.4
67.4,138.47
66.48,120.82
66.01,140.15
72.44,136.74
64.13,106.11
70.98,158.96
67.5,108.79
72.02,138.78
65.31,115.91
67.08,146.29
64.39,109.88
69.37,139.05
68.38,119.9
65.31,128.31
67.14,127.24
68.39,115.23
66.29,124.8
67.19,126.95
65.99,111.27
69.43,122.61
67.97,124.21
67.76,124.65
65.28,119.52
73.83,139.3
66.81,104.83
66.89,123.04
65.74,118.89
65.98,121.49
66.58,119.25
67.11,135.02
65.87,116.23
66.78,109.17
68.74,124.22
66.23,141.16
65.96,129.15
68.58,127.87
66.59,120.92
66.97,127.65
68.08,101.47
70.19,144.99
65.52,110.95
67.46,132.86
67.41,146.34
69.66,145.59
65.8,120.84
66.11,115.78
68.24,128.3
68.02,127.47
71.39,127.88
