time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-15T13:29:38.240Z,19.2111663818359,-155.441665649414,33.8300018310547,1.92999995,md,43,129,,0.100000001,hv,hv72352267,2021-02-15T13:32:53.430Z,"3 km ENE of Pāhala, Hawaii",earthquake,0.58,1.17999995,0.870000005,12,automatic,hv,hv
2021-02-15T13:24:55.830Z,33.4713333,-116.4118333,13.63,0.45,ml,15,132,0.1315,0.18,ci,ci39552527,2021-02-15T13:28:38.107Z,"23km SSW of La Quinta, CA",earthquake,0.49,1.24,0.115,5,automatic,ci,ci
2021-02-15T13:17:58.660Z,35.9183333,-117.6771667,3.13,1.19,ml,17,69,0.03665,0.18,ci,ci39552519,2021-02-15T13:21:35.641Z,"21km E of Little Lake, CA",earthquake,0.28,0.87,0.151,18,automatic,ci,ci
2021-02-15T12:53:58.610Z,18.2045,-67.1235,18,2.96,md,17,123,0.0248,0.19,pr,pr2021046010,2021-02-15T13:33:36.412Z,"1 km ENE of Mayagüez, Puerto Rico",earthquake,0.49,0.52,0.24,10,reviewed,pr,pr
2021-02-15T12:31:34.610Z,33.2584991,-117.1559982,19.06,1.48,ml,10,127,0.4651,0.28,ci,ci39552511,2021-02-15T12:35:11.453Z,"10km NE of Vista, CA",earthquake,1.54,2.81,0.307,13,automatic,ci,ci
2021-02-15T12:30:49.120Z,38.7948341,-122.7568359,0.23,0.62,md,8,88,0.006204,0.07,nc,nc73523516,2021-02-15T12:58:05.787Z,"2km N of The Geysers, CA",earthquake,0.36,0.56,0.08,2,automatic,nc,nc
2021-02-15T12:26:18.614Z,37.5352,141.3892,40.06,5.3,mww,,77,1.618,1.14,us,us6000dht9,2021-02-15T12:57:10.040Z,"34 km E of Namie, Japan",earthquake,7.5,5.8,0.098,10,reviewed,us,us
2021-02-15T12:26:04.252Z,37.5184,141.58,35.55,5.3,mww,,85,1.7,0.67,us,us6000dht8,2021-02-15T12:46:12.040Z,"51 km E of Namie, Japan",earthquake,6.6,6,0.089,12,reviewed,us,us
2021-02-15T12:20:41.580Z,35.9068333,-117.6965,12.41,0.46,ml,8,96,0.0555,0.22,ci,ci39552503,2021-02-15T12:24:15.941Z,"19km E of Little Lake, CA",earthquake,1.05,2.27,0.167,4,automatic,ci,ci
2021-02-15T12:19:42.900Z,33.6998333,-116.8698333,28.64,0.81,ml,11,121,0.1303,0.15,ci,ci39552495,2021-02-15T12:23:28.623Z,"6km SSE of Valle Vista, CA",earthquake,1.22,1.26,0.218,17,automatic,ci,ci
2021-02-15T12:15:53.280Z,41.1843338,-122.1315002,3.39,1.64,md,6,121,0.09003,0.07,nc,nc73523506,2021-02-15T12:30:07.615Z,"8km S of McCloud, CA",earthquake,1.05,7.75,0.14,4,automatic,nc,nc
2021-02-15T12:09:52.190Z,17.978,-66.9295,8,2.27,md,12,173,0.0504,0.3,pr,pr2021046009,2021-02-15T12:22:04.186Z,"1 km SW of Fuig, Puerto Rico",earthquake,0.7,1.43,0.05,7,reviewed,pr,pr
2021-02-15T12:08:55.010Z,32.7466667,-115.8266667,10.54,1.99,ml,30,82,0.1276,0.25,ci,ci39552487,2021-02-15T12:19:59.690Z,"16km E of Ocotillo, CA",earthquake,0.47,0.85,0.184,27,automatic,ci,ci
2021-02-15T11:51:32.060Z,36.221,-97.27766667,8.57,1.15,ml,46,68,0.05218975859,0.25,ok,ok2021dfdc,2021-02-15T13:27:17.838Z,"7 km S of Perry, Oklahoma",earthquake,,1.1,0.2,18,reviewed,ok,ok
2021-02-15T11:29:07.590Z,33.015,-116.4058333,3.04,0.99,ml,34,94,0.1051,0.23,ci,ci39552479,2021-02-15T11:32:54.986Z,"20km ESE of Julian, CA",earthquake,0.36,1.27,0.088,19,automatic,ci,ci
2021-02-15T11:28:55.430Z,37.2092,-117.1025,7,1.3,ml,18,153.47,0.25,0.19,nn,nn00800450,2021-02-15T11:32:12.600Z,"45 km NW of Beatty, Nevada",earthquake,,18,,,automatic,nn,nn
2021-02-15T11:09:00.824Z,60.788,-151.7227,74.4,1.3,ml,,,,0.38,ak,ak021249bnvm,2021-02-15T11:12:34.243Z,"26 km WNW of Nikiski, Alaska",earthquake,,1.2,,,automatic,ak,ak
2021-02-15T11:07:54.920Z,19.3346672058105,-155.140167236328,1.21000003814697,1.73,ml,43,107,,0.230000004,hv,hv72352152,2021-02-15T11:13:26.140Z,"14 km S of Fern Forest, Hawaii",earthquake,0.37,0.569999993,2.96,4,automatic,hv,hv
2021-02-15T11:03:27.118Z,61.8909,-149.2707,5.3,1.7,ml,,,,0.76,ak,ak021249afm3,2021-02-15T11:07:53.616Z,"16 km N of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-02-15T11:02:45.570Z,17.9898,-66.7873,16,2.98,md,21,166,0.0931,0.25,pr,pr2021046008,2021-02-15T11:30:41.940Z,"3 km S of Guayanilla, Puerto Rico",earthquake,0.7,0.42,0.12,12,reviewed,pr,pr
2021-02-15T10:55:09.230Z,38.8296661,-122.8113327,2.06,0.9,md,24,62,0.006339,0.01,nc,nc73523491,2021-02-15T13:07:05.837Z,"8km NW of The Geysers, CA",earthquake,0.2,0.42,0.02,4,automatic,nc,nc
2021-02-15T10:52:27.160Z,36.7635002,-121.4191666,9.35,1.66,md,12,139,0.02253,0.09,nc,nc73523486,2021-02-15T12:39:07.658Z,"7km SW of Ridgemark, CA",earthquake,0.59,1.03,0.31,8,automatic,nc,nc
2021-02-15T10:40:30.060Z,33.4896667,-116.7823333,2.66,1.56,ml,64,19,0.02719,0.21,ci,ci39552471,2021-02-15T10:51:42.080Z,"9km NE of Aguanga, CA",earthquake,0.18,0.4,0.131,26,automatic,ci,ci
2021-02-15T10:34:24.552Z,-17.7672,167.7858,99.79,4.9,mb,,69,9.782,0.77,us,us6000dhsn,2021-02-15T10:54:23.040Z,"56 km W of Port-Vila, Vanuatu",earthquake,13.3,8.2,0.106,28,reviewed,us,us
2021-02-15T10:33:51.371Z,63.4325,-149.3125,34.9,1.7,ml,,,,0.89,ak,ak021248vh5s,2021-02-15T10:49:01.435Z,"18 km WNW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-02-15T10:32:46.255Z,-8.6531,-80.8522,29.13,5,mb,,165,5.152,1.21,us,us6000dhsm,2021-02-15T10:52:54.040Z,"193 km WSW of Santiago de Cao, Peru",earthquake,8.5,6,0.033,285,reviewed,us,us
2021-02-15T10:29:40.160Z,17.9195,-66.8146,15,2.5,md,11,225,0.0852,0.14,pr,pr2021046007,2021-02-15T11:28:09.118Z,"8 km S of Indios, Puerto Rico",earthquake,0.71,0.51,0.14,6,reviewed,pr,pr
2021-02-15T10:27:17.892Z,62.5388,-151.1102,92.1,1.7,ml,,,,0.23,ak,ak021248u4h4,2021-02-15T10:36:19.623Z,"18 km WNW of Petersville, Alaska",earthquake,,1.5,,,automatic,ak,ak
2021-02-15T10:13:46.731Z,68.2043,-146.3224,0,3.8,ml,,,,0.98,ak,ak021248r6q9,2021-02-15T10:33:22.463Z,"33 km WNW of Arctic Village, Alaska",earthquake,,210.5,,,automatic,ak,ak
